,rice__blast,rice__brown_spot,rice__bacterial_leaf_blight,rice__tungro,rice__healthy,wheat__leaf_rust,wheat__stripe_rust,wheat__septoria,wheat__powdery_mildew,wheat__healthy,maize__northern_leaf_blight,maize__common_rust,maize__gray_leaf_spot,maize__fall_armyworm,maize__healthy,tomato__early_blight,tomato__late_blight,tomato__leaf_mold,tomato__septoria_leaf_spot,tomato__bacterial_spot,tomato__yellow_leaf_curl,tomato__mosaic_virus,tomato__spider_mites,tomato__healthy,potato__early_blight,potato__late_blight,potato__healthy,cotton__bacterial_blight,cotton__leaf_curl_virus,cotton__healthy
rice__blast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rice__brown_spot,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rice__bacterial_leaf_blight,1,1,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rice__tungro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rice__healthy,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wheat__leaf_rust,0,0,0,0,0,18,1,0,5,3,0,13,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
wheat__stripe_rust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wheat__septoria,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wheat__powdery_mildew,0,0,1,0,0,1,0,2,18,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wheat__healthy,0,1,0,0,0,11,0,10,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maize__northern_leaf_blight,1,0,0,0,0,0,0,0,2,0,35,2,5,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
maize__common_rust,0,0,0,0,0,0,0,0,0,0,0,23,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maize__gray_leaf_spot,0,0,0,0,0,0,0,0,0,0,4,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maize__fall_armyworm,0,0,0,0,1,0,0,0,0,4,7,0,0,34,3,0,1,0,0,0,1,0,0,3,3,2,0,0,0,0
maize__healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tomato__early_blight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,20,6,4,3,0,1,0,2,5,1,0,0,0,0
tomato__late_blight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,78,4,0,2,0,0,0,0,2,5,0,0,1,0
tomato__leaf_mold,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,9,1,0,1,2,1,1,0,0,1,0,0,0
tomato__septoria_leaf_spot,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,1,2,47,6,17,0,0,2,4,4,0,1,1,0
tomato__bacterial_spot,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,5,6,0,0,0,0,5,2,0,0,1,0
tomato__yellow_leaf_curl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,5,0,66,6,0,1,0,0,0,0,0,0
tomato__mosaic_virus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,4,3,1,1,2,0,0,0,0,0
tomato__spider_mites,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tomato__healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,3,0,87,0,1,0,0,0,1
potato__early_blight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,59,31,0,0,1,0
potato__late_blight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,7,79,0,0,0,0
potato__healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0
cotton__bacterial_blight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,1
cotton__leaf_curl_virus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,2
cotton__healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
